Category,Value
Name,vulnad.local
Functional Level,Windows2016Forest
Domain Naming Master,dc1.vulnad.local
Schema Master,dc1.vulnad.local
RootDomain,vulnad.local
Domain Count,1
Site Count,1
Global Catalog Count,1
Domain,vulnad.local
Site,Default-First-Site-Name
GlobalCatalog,dc1.vulnad.local
Tombstone Lifetime,180
Recycle Bin (2008 R2 onwards),Disabled
Privileged Access Management (2016 onwards),Disabled
LAPS,Enabled
LAPS Installed Date,2/14/2024 10:48:16 PM
