ObjectClass,Name,whenCreated,whenChanged,DistinguishedName
"top, attributeSchema",ms-Kds-Version,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Link-Track-Volume-Table,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Certificate-Authority-Object,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Logon-Workstation,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-DfsLinkTarget,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",NT-Security-Descriptor,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Sync-With-SID,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-Kds-DomainID,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Top,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Certificate-Revocation-List,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",LSA-Creation-Time,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-MemberReference,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Obj-Dist-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",System-Auxiliary-Class,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-Kds-UseStartTime,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Locality,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Certificate-Templates,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",LSA-Modified-Count,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-ComputerReference,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Category,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",System-Flags,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-Kds-CreateTime,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Trusted-Domain,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Class-Display-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Machine-Architecture,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-MemberReferenceBL,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Class,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",System-May-Contain,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
