ZoneName,Name,RecordType,Data,TTL,Age,TimeStamp,UpdatedAtSerial,whenCreated,whenChanged,showInAdvancedViewOnly,DistinguishedName
RootDNSServers,@,NS,A.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,A.ROOT-SERVERS.NET,AAAA,2001:0503:ba3e:0000:0000:0000:0002:0030,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=A.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,B.ROOT-SERVERS.NET,AAAA,2001:0500:0084:0000:0000:0000:0000:000b,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=B.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,C.ROOT-SERVERS.NET,AAAA,2001:0500:0002:0000:0000:0000:0000:000c,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=C.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,D.ROOT-SERVERS.NET,AAAA,2001:0500:002d:0000:0000:0000:0000:000d,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=D.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,E.ROOT-SERVERS.NET,A,192.203.230.10,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=E.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,F.ROOT-SERVERS.NET,AAAA,2001:0500:002f:0000:0000:0000:0000:000f,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=F.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,G.ROOT-SERVERS.NET,A,192.112.36.4,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=G.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,H.ROOT-SERVERS.NET,AAAA,2001:0500:0001:0000:0000:0000:0000:0053,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=H.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,I.ROOT-SERVERS.NET,AAAA,2001:07fe:0000:0000:0000:0000:0000:0053,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=I.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,J.ROOT-SERVERS.NET,AAAA,2001:0503:0c27:0000:0000:0000:0002:0030,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=J.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,K.ROOT-SERVERS.NET,AAAA,2001:07fd:0000:0000:0000:0000:0000:0001,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=K.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,L.ROOT-SERVERS.NET,AAAA,2001:0500:009f:0000:0000:0000:0000:0042,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
RootDNSServers,M.ROOT-SERVERS.NET,AAAA,2001:0dc3:0000:0000:0000:0000:0000:0035,0,0,[static],0,1/28/2024 10:57:21 PM,1/28/2024 10:57:21 PM,TRUE,"DC=M.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
_msdcs.vulnad.local,@,SOA,[2][dc1.vulnad.local.][hostmaster.vulnad.local.][900][600][86400][3600],269352960,0,[static],3,1/28/2024 10:57:20 PM,2/13/2024 11:00:12 AM,TRUE,"DC=@,DC=_msdcs.vulnad.local,CN=MicrosoftDNS,DC=ForestDnsZones,DC=vulnad,DC=local"
_msdcs.vulnad.local,@,NS,dc1.vulnad.local.,269352960,0,[static],3,1/28/2024 10:57:20 PM,2/13/2024 11:00:12 AM,TRUE,"DC=@,DC=_msdcs.vulnad.local,CN=MicrosoftDNS,DC=ForestDnsZones,DC=vulnad,DC=local"
_msdcs.vulnad.local,8ebd247e-9cdd-4ca5-9166-828610007214,CNAME,dc1.vulnad.local.,1476526080,3708971,02/13/2024 11:00:00 AM,25,1/28/2024 10:57:20 PM,2/13/2024 11:00:14 AM,TRUE,"DC=8ebd247e-9cdd-4ca5-9166-828610007214,DC=_msdcs.vulnad.local,CN=MicrosoftDNS,DC=ForestDnsZones,DC=vulnad,DC=local"
_msdcs.vulnad.local,gc,AAAA,fdde:782e:a6dc:4f08:124c:5237:b1fd:e331,1476526080,3725794,01/14/2026 10:00:00 AM,34,1/28/2024 10:57:20 PM,1/14/2026 10:10:32 AM,TRUE,"DC=gc,DC=_msdcs.vulnad.local,CN=MicrosoftDNS,DC=ForestDnsZones,DC=vulnad,DC=local"
_msdcs.vulnad.local,gc,A,192.168.178.39,1476526080,3725794,01/14/2026 10:00:00 AM,34,1/28/2024 10:57:20 PM,1/14/2026 10:10:32 AM,TRUE,"DC=gc,DC=_msdcs.vulnad.local,CN=MicrosoftDNS,DC=ForestDnsZones,DC=vulnad,DC=local"
