Category,Value
Name,vulnad.local
NetBIOS,vulnad
Functional Level,Windows2016Domain
DomainSID,S-1-5-21-4178490863-1286169181-2994033663
Creation Date,1/28/2024 10:47:23 PM
ms-DS-MachineAccountQuota,5
RIDs Issued,3100
RIDs Remaining,1073738723
